latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.499784,-79.165779,2550.5,29.473843671397578,3480.0486584042937,0.0,12:12:17,703759.5490174046,9612964.73652651,52.23,3092.81,12.45,2,14.736921835698789
-3.499772,-79.166031,2550.5,28.04516052308167,3508.093818927375,0.0,12:12:19,703731.5479322532,9612966.118357144,50.74,3092.82,12.3,2,14.022580261540835
-3.499695,-79.166275,2550.5,28.43045123369965,3536.524270161075,0.0,12:12:21,703704.4499045633,9612974.686842637,50.86,3092.83,14.4,2,14.215225616849825
-3.499579,-79.166504,2550.5,28.50849131574242,3565.0327614768175,0.0,12:12:23,703679.0271890234,9612987.565101132,51.45,3092.83,15.15,2,14.25424565787121
-3.499462,-79.166733,2584.2,28.558443605191318,3593.591205082009,1.1800362956009927,12:12:25,703653.6046856984,9613000.55394084,51.45,3092.84,14.55,2,14.279221802595659
-3.499291,-79.167084,2584.2,43.35781449097459,3636.9490195729836,0.0,12:12:28,703614.6365085848,9613019.541152157,51.3,3092.85,13.6,3,14.452604830324864
-3.499178,-79.167313,2584.2,28.36068904398835,3665.309708616972,0.0,12:12:30,703589.2131317124,9613032.08760495,51.26,3092.86,14.25,2,14.180344521994176
-3.499065,-79.167542,2584.2,28.36068813567292,3693.6703967526446,0.0,12:12:32,703563.7897511924,9613044.634048298,51.49,3092.87,14.6,2,14.18034406783646
-3.49895,-79.167778,2584.2,29.156773225002684,3722.8271699776474,0.0,12:12:34,703537.5889189958,9613057.40318224,51.65,3092.88,14.15,2,14.578386612501342
-3.498831,-79.168007,2584.2,28.659363913917808,3751.486533891565,0.0,12:12:36,703512.166826374,9613070.613150423,51.78,3092.88,13.75,2,14.329681956958904
-3.498705,-79.168236,2584.2,29.023118460271434,3780.5096523518364,0.0,12:12:38,703486.7462405724,9613084.59724354,52.15,3092.89,14.3,2,14.511559230135717
-3.498561,-79.168449,2584.2,28.53838164737958,3809.048033999216,0.0,12:12:40,703463.1075458605,9613100.568488693,52.54,3092.9,14.75,2,14.26919082368979
-3.498383,-79.168648,2584.2,29.61637441840563,3838.6644084176214,0.0,12:12:42,703441.0319415191,9613120.296770401,52.67,3092.91,14.4,2,14.808187209202815
-3.498185,-79.168823,2584.2,29.29592055231758,3867.960328969939,0.0,12:12:44,703421.6276612688,9613142.231652452,53.04,3092.91,15.0,2,14.64796027615879
-3.497983,-79.168999,2584.2,29.701213288909774,3897.661542258849,0.0,12:12:46,703402.1131094145,9613164.609105669,53.39,3092.92,18.1,2,14.850606644454887
-3.497784,-79.169174,2584.2,29.378700324632472,3927.0402425834814,0.0,12:12:48,703382.7090273013,9613186.654562255,52.84,3092.93,11.3,2,14.689350162316236
-3.497584,-79.16935,2584.2,29.535157686928343,3956.57540027041,0.0,12:12:50,703363.1940263119,9613208.810818095,52.5,3092.94,13.55,2,14.767578843464172
-3.497387,-79.169525,2584.2,29.21332373522998,3985.78872400564,0.0,12:12:52,703343.78949542,9613230.635077488,52.15,3092.94,13.9,2,14.60666186761499
-3.497201,-79.169708,2584.2,28.935339337172042,4014.724063342812,0.0,12:12:54,703323.4935783455,9613251.244565737,52.26,3092.95,12.85,2,14.467669668586021
-3.497041,-79.169922,2620.3,29.65169822773823,4044.37576157055,1.2174682111876463,12:12:56,703299.7471497355,9613268.985405685,52.26,3092.96,13.05,2,14.825849113869115
-3.49691,-79.170143,2622.6,28.5235281710241,4072.899289741574,0.08063518601938606,12:12:58,703275.2165841823,9613283.52062644,52.26,3092.97,14.55,2,14.26176408551205
-3.49677,-79.170509,2622.6,43.52936270556685,4116.428652447141,0.0,12:13:01,703234.5747140599,9613299.08254545,52.19,3092.98,13.9,3,14.509787568522283
-3.496711,-79.170769,2622.6,29.630349130181983,4146.059001577323,0.0,12:13:03,703205.6947227957,9613305.663669,51.99,3092.99,13.2,2,14.815174565090992
-3.496661,-79.171021,2622.6,28.554448989598974,4174.613450566922,0.0,12:13:05,703177.7017995282,9613311.247736966,51.45,3092.99,12.25,2,14.277224494799487
-3.496613,-79.171272,2622.6,28.40325175025612,4203.016702317179,0.0,12:13:07,703149.8195721097,9613316.610398538,51.21,3093.0,12.6,2,14.20162587512806
-3.496559,-79.171516,2622.6,27.774587781438832,4230.7912900986175,0.0,12:13:09,703122.7165177292,9613322.63507927,50.84,3093.01,12.85,2,13.887293890719416
-3.496489,-79.171768,2622.6,29.0640505725882,4259.855340671205,0.0,12:13:11,703094.7279024553,9613330.43092879,50.65,3093.01,12.75,2,14.5320252862941
-3.496385,-79.171997,2622.6,27.93624986813731,4287.791590539343,0.0,12:13:13,703069.3024970712,9613341.981867831,50.28,3093.02,12.7,2,13.968124934068655
-3.496236,-79.172211,2622.6,28.941958993274376,4316.733549532617,0.0,12:13:15,703045.5536595401,9613358.506121736,50.17,3093.03,13.55,2,14.470979496637188
-3.496051,-79.172379,2622.6,27.706912043849275,4344.440461576466,0.0,12:13:17,703026.9243469948,9613379.001673713,50.95,3093.04,13.55,2,13.853456021924638
-3.495839,-79.172508,2622.6,27.490485263653675,4371.93094684012,0.0,12:13:19,703012.6347408342,9613402.474726904,50.32,3093.05,13.2,2,13.745242631826837
-3.495612,-79.172623,2622.6,28.17965216893912,4400.110599009059,0.0,12:13:21,702999.9041144582,9613427.603603827,49.99,3093.05,13.2,2,14.08982608446956
-3.495387,-79.172729,2622.6,27.540182858426128,4427.650781867485,0.0,12:13:23,702988.1731816285,9613452.509349814,48.99,3093.06,11.5,2,13.770091429213064
-3.495182,-79.172859,2622.6,26.892620157886274,4454.5434020253715,0.0,12:13:25,702973.7709193905,9613475.20847114,48.6,3093.07,11.75,2,13.446310078943137
-3.495001,-79.173019,2654.6,26.783312443198064,4481.32671446857,1.1947738005844297,12:13:27,702956.0297130586,9613495.25990144,48.6,3093.07,12.15,2,13.391656221599032
-3.494754,-79.173279,2654.6,39.771147421353504,4521.0978618899235,0.0,12:13:30,702927.1901054119,9613522.631892143,48.39,3093.08,12.35,3,13.257049140451167
-3.494596,-79.17347,2654.6,27.50218585487383,4548.600047744797,0.0,12:13:32,702905.9990355601,9613540.14642444,48.6,3093.08,12.9,2,13.751092927436915
