secuencia,fecha,hora,latitud,l,longitud,altitud
12128,05/06/2012,06:47:46,19.463264,99.152551,-99.152551,2252.712891
12129,05/06/2012,06:47:47,19.463275,99.152623,-99.152623,2252.838623
12130,05/06/2012,06:47:48,19.463282,99.152693,-99.152693,2253.491211
12131,05/06/2012,06:47:49,19.463286,99.152755,-99.152755,2254.654785
12132,05/06/2012,06:47:50,19.463292,99.152809,-99.152809,2254.675537
12133,05/06/2012,06:47:51,19.463298,99.152858,-99.152858,2254.574219
12134,05/06/2012,06:47:52,19.463303,99.152905,-99.152905,2254.335693
12135,05/06/2012,06:47:53,19.46331,99.152949,-99.152949,2254.32251
12136,05/06/2012,06:47:54,19.463317,99.15299,-99.15299,2253.889648
12137,05/06/2012,06:47:55,19.463322,99.153032,-99.153032,2254.013428
12138,05/06/2012,06:47:56,19.463327,99.153072,-99.153072,2254.004395
12139,05/06/2012,06:47:57,19.463335,99.153112,-99.153112,2253.36792
12140,05/06/2012,06:47:58,19.463341,99.153162,-99.153162,2252.284668
12141,05/06/2012,06:47:59,19.463347,99.153217,-99.153217,2252.374268
12142,05/06/2012,06:48:00,19.463354,99.153272,-99.153272,2252.32959
12143,05/06/2012,06:48:01,19.463364,99.153326,-99.153326,2251.844727
12144,05/06/2012,06:48:02,19.463371,99.153386,-99.153386,2252.511963
12145,05/06/2012,06:48:03,19.463379,99.153454,-99.153454,2252.796631
12146,05/06/2012,06:48:04,19.463392,99.153528,-99.153528,2252.618408
12147,05/06/2012,06:48:05,19.46341,99.153601,-99.153601,2252.224365
12148,05/06/2012,06:48:06,19.463424,99.153676,-99.153676,2252.01416
12149,05/06/2012,06:48:07,19.463438,99.153752,-99.153752,2252.122803
12150,05/06/2012,06:48:08,19.46345,99.153822,-99.153822,2251.775146
12151,05/06/2012,06:48:09,19.463464,99.153887,-99.153887,2251.731934
12152,05/06/2012,06:48:10,19.463475,99.15395,-99.15395,2251.613525
12153,05/06/2012,06:48:11,19.463484,99.15401,-99.15401,2251.294922
12154,05/06/2012,06:48:12,19.463494,99.154068,-99.154068,2251.063965
12155,05/06/2012,06:48:13,19.463506,99.154127,-99.154127,2250.889404
12156,05/06/2012,06:48:14,19.463519,99.154185,-99.154185,2250.293701
12157,05/06/2012,06:48:15,19.46353,99.154239,-99.154239,2249.868164
12158,05/06/2012,06:48:16,19.46354,99.154292,-99.154292,2249.292725
